FID;UNITNAME;AGEBRACKET;UNITTABLEL
1023;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1024;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1025;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1026;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1027;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1028;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1029;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1030;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1031;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1032;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1033;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1034;Late Ordovician-Silurian deep marine  greywacke, mudstone (Longford-Down);Palaeozoic, Ordovician - Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1035;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1036;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1037;Jurassic mudstone & limestone;Mesozoic, Jurassic;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_12.pdf
1038;Neoproterozoic metasedimentary rocks - Dalradian;Neoproterozoic (-Cambrian), Dalradian Supergroup;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_02.pdf
1039;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1040;Neoproterozoic metasedimentary rocks - Dalradian;Neoproterozoic (-Cambrian), Dalradian Supergroup;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_02.pdf
1041;Neoproterozoic metasedimentary rocks - Dalradian;Neoproterozoic (-Cambrian), Dalradian Supergroup;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_02.pdf
1042;Neoproterozoic metasedimentary rocks - Dalradian;Neoproterozoic (-Cambrian), Dalradian Supergroup;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_02.pdf
1043;Neoproterozoic metasedimentary rocks - Dalradian;Neoproterozoic (-Cambrian), Dalradian Supergroup;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_02.pdf
1044;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1045;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1046;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1047;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1048;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1049;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1050;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
